epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1774670795901,2026-03-28T00.06.35.901,0.000,0.435,-0.876,-0.191
1774670795912,2026-03-28T00.06.35.912,0.011,0.450,-0.889,-0.197
1774670795922,2026-03-28T00.06.35.922,0.021,0.458,-0.888,-0.195
1774670795931,2026-03-28T00.06.35.931,0.030,0.464,-0.882,-0.186
1774670795941,2026-03-28T00.06.35.941,0.040,0.471,-0.872,-0.173
1774670795951,2026-03-28T00.06.35.951,0.050,0.462,-0.859,-0.171
1774670795961,2026-03-28T00.06.35.961,0.060,0.444,-0.858,-0.174
1774670795970,2026-03-28T00.06.35.970,0.069,0.433,-0.854,-0.177
1774670795980,2026-03-28T00.06.35.980,0.079,0.436,-0.848,-0.171
1774670795991,2026-03-28T00.06.35.991,0.090,0.443,-0.855,-0.164
1774670796001,2026-03-28T00.06.36.001,0.100,0.453,-0.867,-0.155
1774670796010,2026-03-28T00.06.36.010,0.109,0.458,-0.876,-0.150
1774670796020,2026-03-28T00.06.36.020,0.119,0.456,-0.891,-0.153
1774670796030,2026-03-28T00.06.36.030,0.129,0.454,-0.899,-0.154
1774670796040,2026-03-28T00.06.36.040,0.139,0.453,-0.906,-0.155
1774670796049,2026-03-28T00.06.36.049,0.148,0.453,-0.904,-0.151
1774670796059,2026-03-28T00.06.36.059,0.158,0.449,-0.900,-0.148
1774670796070,2026-03-28T00.06.36.070,0.169,0.451,-0.893,-0.146
1774670796080,2026-03-28T00.06.36.080,0.179,0.454,-0.879,-0.146
1774670796089,2026-03-28T00.06.36.089,0.188,0.446,-0.881,-0.143
1774670796099,2026-03-28T00.06.36.099,0.198,0.434,-0.887,-0.142
1774670796109,2026-03-28T00.06.36.109,0.208,0.420,-0.890,-0.146
1774670796120,2026-03-28T00.06.36.120,0.219,0.418,-0.883,-0.153
1774670796128,2026-03-28T00.06.36.128,0.227,0.431,-0.883,-0.161
1774670796139,2026-03-28T00.06.36.139,0.238,0.444,-0.890,-0.170
1774670796149,2026-03-28T00.06.36.149,0.248,0.456,-0.896,-0.171
1774670796159,2026-03-28T00.06.36.159,0.258,0.462,-0.907,-0.174
1774670796168,2026-03-28T00.06.36.168,0.267,0.467,-0.911,-0.186
1774670796178,2026-03-28T00.06.36.178,0.277,0.470,-0.907,-0.192
1774670796188,2026-03-28T00.06.36.188,0.287,0.474,-0.902,-0.194
1774670796199,2026-03-28T00.06.36.199,0.298,0.465,-0.894,-0.197
1774670796207,2026-03-28T00.06.36.207,0.306,0.458,-0.886,-0.197
1774670796218,2026-03-28T00.06.36.218,0.317,0.460,-0.886,-0.195
1774670796228,2026-03-28T00.06.36.228,0.327,0.460,-0.885,-0.192
1774670796238,2026-03-28T00.06.36.238,0.337,0.454,-0.889,-0.195
1774670796247,2026-03-28T00.06.36.247,0.346,0.442,-0.892,-0.196
1774670796257,2026-03-28T00.06.36.257,0.356,0.430,-0.898,-0.196
1774670796267,2026-03-28T00.06.36.267,0.366,0.424,-0.900,-0.195
1774670796278,2026-03-28T00.06.36.278,0.377,0.423,-0.905,-0.192
1774670796287,2026-03-28T00.06.36.287,0.386,0.414,-0.905,-0.187
1774670796297,2026-03-28T00.06.36.297,0.396,0.395,-0.898,-0.187
1774670796307,2026-03-28T00.06.36.307,0.406,0.379,-0.884,-0.190
1774670796317,2026-03-28T00.06.36.317,0.416,0.374,-0.870,-0.196
1774670796326,2026-03-28T00.06.36.326,0.425,0.378,-0.865,-0.204
1774670796336,2026-03-28T00.06.36.336,0.435,0.400,-0.867,-0.208
1774670796347,2026-03-28T00.06.36.347,0.446,0.418,-0.870,-0.205
1774670796355,2026-03-28T00.06.36.355,0.454,0.431,-0.871,-0.198
1774670796366,2026-03-28T00.06.36.366,0.465,0.429,-0.872,-0.194
1774670796376,2026-03-28T00.06.36.376,0.475,0.425,-0.872,-0.195
1774670796386,2026-03-28T00.06.36.386,0.485,0.419,-0.868,-0.193
1774670796395,2026-03-28T00.06.36.395,0.494,0.421,-0.864,-0.188
1774670796405,2026-03-28T00.06.36.405,0.504,0.429,-0.863,-0.187
1774670796415,2026-03-28T00.06.36.415,0.514,0.433,-0.874,-0.186
1774670796426,2026-03-28T00.06.36.426,0.525,0.424,-0.887,-0.177
1774670796434,2026-03-28T00.06.36.434,0.533,0.420,-0.899,-0.171
1774670796445,2026-03-28T00.06.36.445,0.544,0.422,-0.899,-0.169
1774670796455,2026-03-28T00.06.36.455,0.554,0.429,-0.900,-0.176
1774670796465,2026-03-28T00.06.36.465,0.564,0.430,-0.907,-0.178
1774670796474,2026-03-28T00.06.36.474,0.573,0.431,-0.907,-0.184
1774670796484,2026-03-28T00.06.36.484,0.583,0.440,-0.908,-0.181
1774670796495,2026-03-28T00.06.36.495,0.594,0.436,-0.909,-0.178
1774670796505,2026-03-28T00.06.36.505,0.604,0.435,-0.914,-0.176
1774670796514,2026-03-28T00.06.36.514,0.613,0.436,-0.916,-0.185
1774670796524,2026-03-28T00.06.36.524,0.623,0.432,-0.916,-0.194
1774670796534,2026-03-28T00.06.36.534,0.633,0.429,-0.915,-0.198
1774670796544,2026-03-28T00.06.36.544,0.643,0.433,-0.911,-0.199
1774670796553,2026-03-28T00.06.36.553,0.652,0.434,-0.910,-0.200
1774670796563,2026-03-28T00.06.36.563,0.662,0.433,-0.913,-0.207
1774670796574,2026-03-28T00.06.36.574,0.673,0.429,-0.916,-0.215
1774670796584,2026-03-28T00.06.36.584,0.683,0.423,-0.916,-0.226
1774670796593,2026-03-28T00.06.36.593,0.692,0.412,-0.916,-0.235
1774670796603,2026-03-28T00.06.36.603,0.702,0.407,-0.911,-0.239
1774670796613,2026-03-28T00.06.36.613,0.712,0.412,-0.903,-0.234
1774670796623,2026-03-28T00.06.36.623,0.722,0.420,-0.890,-0.228
1774670796632,2026-03-28T00.06.36.632,0.731,0.427,-0.888,-0.223
1774670796642,2026-03-28T00.06.36.642,0.741,0.438,-0.876,-0.223
1774670796653,2026-03-28T00.06.36.653,0.752,0.448,-0.864,-0.220
1774670796663,2026-03-28T00.06.36.663,0.762,0.438,-0.866,-0.210
1774670796672,2026-03-28T00.06.36.672,0.771,0.428,-0.869,-0.208
1774670796682,2026-03-28T00.06.36.682,0.781,0.428,-0.871,-0.201
1774670796692,2026-03-28T00.06.36.692,0.791,0.427,-0.872,-0.192
1774670796703,2026-03-28T00.06.36.703,0.802,0.429,-0.878,-0.187
