epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1774670795912,2026-03-28T00.06.35.912,0.000,-1.402,20.671,8.780
1774670795922,2026-03-28T00.06.35.922,0.010,-1.707,22.317,9.695
1774670795931,2026-03-28T00.06.35.931,0.019,-1.707,23.415,9.756
1774670795941,2026-03-28T00.06.35.941,0.029,-1.707,25.427,9.329
1774670795951,2026-03-28T00.06.35.951,0.039,-1.829,27.744,9.024
1774670795961,2026-03-28T00.06.35.961,0.049,-2.439,28.720,8.110
1774670795970,2026-03-28T00.06.35.970,0.058,-3.110,27.256,7.439
1774670795980,2026-03-28T00.06.35.980,0.068,-3.780,24.146,7.256
1774670795991,2026-03-28T00.06.35.991,0.079,-4.817,21.280,6.890
1774670796001,2026-03-28T00.06.36.001,0.089,-5.488,19.451,6.707
1774670796010,2026-03-28T00.06.36.010,0.098,-5.549,18.293,6.220
1774670796020,2026-03-28T00.06.36.020,0.108,-5.549,17.317,5.671
1774670796030,2026-03-28T00.06.36.030,0.118,-5.061,15.854,5.183
1774670796040,2026-03-28T00.06.36.040,0.128,-4.146,14.451,4.390
1774670796049,2026-03-28T00.06.36.049,0.137,-3.598,12.866,4.451
1774670796059,2026-03-28T00.06.36.059,0.147,-3.598,11.524,4.512
1774670796070,2026-03-28T00.06.36.070,0.158,-3.720,10.976,4.634
1774670796080,2026-03-28T00.06.36.080,0.168,-4.024,11.829,4.512
1774670796089,2026-03-28T00.06.36.089,0.177,-4.634,13.110,4.634
1774670796099,2026-03-28T00.06.36.099,0.187,-4.634,13.110,4.634
1774670796109,2026-03-28T00.06.36.109,0.197,-3.720,10.732,3.841
1774670796120,2026-03-28T00.06.36.120,0.208,-2.317,6.524,3.049
1774670796128,2026-03-28T00.06.36.128,0.216,-0.915,1.707,1.524
1774670796139,2026-03-28T00.06.36.139,0.227,0.549,-1.951,0.122
1774670796149,2026-03-28T00.06.36.149,0.237,2.073,-3.841,-0.427
1774670796159,2026-03-28T00.06.36.159,0.247,3.232,-4.207,-0.366
1774670796168,2026-03-28T00.06.36.168,0.256,3.720,-3.049,-0.183
1774670796178,2026-03-28T00.06.36.178,0.266,4.085,-1.037,-0.122
1774670796188,2026-03-28T00.06.36.188,0.276,3.841,1.951,0.061
1774670796199,2026-03-28T00.06.36.199,0.287,2.988,4.878,0.732
1774670796207,2026-03-28T00.06.36.207,0.295,2.134,6.524,1.890
1774670796218,2026-03-28T00.06.36.218,0.306,1.280,7.500,2.744
1774670796228,2026-03-28T00.06.36.228,0.316,0.366,8.659,3.232
1774670796238,2026-03-28T00.06.36.238,0.326,-0.061,9.939,3.171
1774670796247,2026-03-28T00.06.36.247,0.335,-0.244,10.122,2.744
1774670796257,2026-03-28T00.06.36.257,0.345,-0.122,8.537,2.500
1774670796267,2026-03-28T00.06.36.267,0.355,0.488,6.341,2.134
1774670796278,2026-03-28T00.06.36.278,0.366,0.976,4.695,1.463
1774670796287,2026-03-28T00.06.36.287,0.375,1.707,3.720,0.915
1774670796297,2026-03-28T00.06.36.297,0.385,2.622,3.110,1.098
1774670796307,2026-03-28T00.06.36.307,0.395,3.415,0.976,2.073
1774670796317,2026-03-28T00.06.36.317,0.405,4.024,-3.171,2.195
1774670796326,2026-03-28T00.06.36.326,0.414,3.780,-7.134,2.439
1774670796336,2026-03-28T00.06.36.336,0.424,2.927,-9.512,2.500
1774670796347,2026-03-28T00.06.36.347,0.435,1.951,-9.512,2.500
1774670796357,2026-03-28T00.06.36.357,0.445,0.671,-7.439,2.622
1774670796366,2026-03-28T00.06.36.366,0.454,-0.610,-5.427,2.622
1774670796376,2026-03-28T00.06.36.376,0.464,-1.829,-4.390,2.012
1774670796386,2026-03-28T00.06.36.386,0.474,-3.110,-4.878,1.890
1774670796395,2026-03-28T00.06.36.395,0.483,-3.902,-5.488,0.610
1774670796405,2026-03-28T00.06.36.405,0.493,-4.695,-4.939,-0.549
1774670796415,2026-03-28T00.06.36.415,0.503,-5.488,-3.476,-1.159
1774670796426,2026-03-28T00.06.36.426,0.514,-5.366,-2.805,-1.463
1774670796434,2026-03-28T00.06.36.434,0.522,-4.390,-2.561,-1.098
1774670796445,2026-03-28T00.06.36.445,0.533,-3.049,-2.317,-0.366
1774670796455,2026-03-28T00.06.36.455,0.543,-1.585,-2.012,0.061
1774670796465,2026-03-28T00.06.36.465,0.553,0.183,-1.037,0.610
1774670796474,2026-03-28T00.06.36.474,0.562,1.646,0.122,1.463
1774670796484,2026-03-28T00.06.36.484,0.572,2.927,0.610,2.134
