epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1774670685486,2026-03-28T00.04.45.486,0.000,0.610,-2.134,1.524
1774670685497,2026-03-28T00.04.45.497,0.011,0.366,-3.293,0.122
1774670685506,2026-03-28T00.04.45.506,0.020,-0.183,-1.585,0.122
1774670685516,2026-03-28T00.04.45.516,0.030,-1.463,1.768,-0.244
1774670685526,2026-03-28T00.04.45.526,0.040,-2.866,5.061,-1.037
1774670685536,2026-03-28T00.04.45.536,0.050,-3.720,7.317,-1.890
1774670685545,2026-03-28T00.04.45.545,0.059,-3.659,6.159,-2.378
1774670685555,2026-03-28T00.04.45.555,0.069,-3.232,3.049,-2.622
1774670685566,2026-03-28T00.04.45.566,0.080,-2.500,-0.976,-2.744
1774670685576,2026-03-28T00.04.45.576,0.090,-1.890,-4.146,-3.110
1774670685585,2026-03-28T00.04.45.585,0.099,-1.159,-5.305,-2.866
1774670685595,2026-03-28T00.04.45.595,0.109,-0.488,-4.207,-2.378
1774670685605,2026-03-28T00.04.45.605,0.119,0.000,-1.768,-1.829
1774670685615,2026-03-28T00.04.45.615,0.129,0.549,0.366,-0.854
1774670685624,2026-03-28T00.04.45.624,0.138,1.098,1.037,-0.061
1774670685634,2026-03-28T00.04.45.634,0.148,1.768,0.000,0.610
1774670685645,2026-03-28T00.04.45.645,0.159,2.073,-2.012,0.732
1774670685655,2026-03-28T00.04.45.655,0.169,2.317,-3.963,0.549
1774670685664,2026-03-28T00.04.45.664,0.178,2.073,-4.939,0.366
1774670685674,2026-03-28T00.04.45.674,0.188,1.524,-4.207,0.305
1774670685684,2026-03-28T00.04.45.684,0.198,0.671,-2.134,0.488
1774670685693,2026-03-28T00.04.45.693,0.207,0.183,-0.305,0.488
1774670685703,2026-03-28T00.04.45.703,0.217,-0.061,0.427,0.610
1774670685714,2026-03-28T00.04.45.714,0.228,0.244,0.061,0.732
1774670685724,2026-03-28T00.04.45.724,0.238,0.671,-0.427,0.488
1774670685733,2026-03-28T00.04.45.733,0.247,0.976,-0.549,0.427
1774670685743,2026-03-28T00.04.45.743,0.257,1.159,0.122,0.427
1774670685753,2026-03-28T00.04.45.753,0.267,1.220,1.037,0.427
1774670685763,2026-03-28T00.04.45.763,0.277,1.037,1.402,0.427
1774670685772,2026-03-28T00.04.45.772,0.286,0.915,1.341,0.427
1774670685782,2026-03-28T00.04.45.782,0.296,0.854,0.915,0.366
1774670685793,2026-03-28T00.04.45.793,0.307,0.305,0.366,0.305
1774670685803,2026-03-28T00.04.45.803,0.317,0.000,0.305,0.183
1774670685812,2026-03-28T00.04.45.812,0.326,-0.183,0.793,0.061
1774670685822,2026-03-28T00.04.45.822,0.336,-0.305,1.463,-0.122
1774670685832,2026-03-28T00.04.45.832,0.346,-0.549,1.829,-0.122
1774670685842,2026-03-28T00.04.45.842,0.356,-0.854,1.585,-0.122
1774670685851,2026-03-28T00.04.45.851,0.365,-0.854,1.280,-0.183
1774670685861,2026-03-28T00.04.45.861,0.375,-0.976,0.854,-0.244
1774670685872,2026-03-28T00.04.45.872,0.386,-1.220,0.488,-0.244
1774670685882,2026-03-28T00.04.45.882,0.396,-1.402,0.244,-0.122
1774670685891,2026-03-28T00.04.45.891,0.405,-1.220,0.427,0.122
1774670685901,2026-03-28T00.04.45.901,0.415,-1.098,0.915,0.244
1774670685911,2026-03-28T00.04.45.911,0.425,-0.976,1.220,0.366
1774670685922,2026-03-28T00.04.45.922,0.436,-0.915,1.402,0.488
1774670685930,2026-03-28T00.04.45.930,0.444,-0.671,1.159,0.305
1774670685941,2026-03-28T00.04.45.941,0.455,-0.366,0.732,0.061
1774670685951,2026-03-28T00.04.45.951,0.465,0.061,0.122,-0.244
1774670685961,2026-03-28T00.04.45.961,0.475,0.305,-0.549,-0.488
1774670685970,2026-03-28T00.04.45.970,0.484,0.366,-0.915,-0.732
1774670685980,2026-03-28T00.04.45.980,0.494,0.061,-0.671,-0.915
1774670685990,2026-03-28T00.04.45.990,0.504,-0.183,0.061,-0.976
1774670686001,2026-03-28T00.04.46.001,0.515,-0.427,0.915,-0.793
1774670686009,2026-03-28T00.04.46.009,0.523,-0.610,1.280,-0.671
1774670686020,2026-03-28T00.04.46.020,0.534,-0.610,1.463,-0.427
1774670686030,2026-03-28T00.04.46.030,0.544,-0.549,1.402,-0.305
1774670686040,2026-03-28T00.04.46.040,0.554,-0.183,1.159,-0.244
1774670686049,2026-03-28T00.04.46.049,0.563,0.061,0.915,-0.305
1774670686059,2026-03-28T00.04.46.059,0.573,0.549,0.671,-0.305
1774670686070,2026-03-28T00.04.46.070,0.584,0.976,0.427,-0.183
1774670686080,2026-03-28T00.04.46.080,0.594,1.098,0.732,0.122
1774670686089,2026-03-28T00.04.46.089,0.603,1.037,1.524,0.427
1774670686099,2026-03-28T00.04.46.099,0.613,0.976,2.256,0.854
1774670686109,2026-03-28T00.04.46.109,0.623,0.671,2.683,1.280
1774670686119,2026-03-28T00.04.46.119,0.633,0.183,2.256,1.463
1774670686128,2026-03-28T00.04.46.128,0.642,0.183,1.463,1.402
1774670686138,2026-03-28T00.04.46.138,0.652,0.000,1.098,1.220
1774670686149,2026-03-28T00.04.46.149,0.663,-0.183,1.280,0.793
1774670686157,2026-03-28T00.04.46.157,0.671,-0.183,1.341,0.610
1774670686168,2026-03-28T00.04.46.168,0.682,-0.366,1.463,0.549
1774670686178,2026-03-28T00.04.46.178,0.692,-0.549,1.341,0.549
1774670686188,2026-03-28T00.04.46.188,0.702,-0.610,1.280,0.549
1774670686197,2026-03-28T00.04.46.197,0.711,-0.793,1.463,0.549
1774670686207,2026-03-28T00.04.46.207,0.721,-0.915,1.463,0.488
1774670686217,2026-03-28T00.04.46.217,0.731,-1.159,1.159,0.610
1774670686228,2026-03-28T00.04.46.228,0.742,-1.098,0.305,0.671
1774670686236,2026-03-28T00.04.46.236,0.750,-0.732,-0.854,0.854
1774670686247,2026-03-28T00.04.46.247,0.761,-0.610,-1.707,0.732
1774670686257,2026-03-28T00.04.46.257,0.771,-0.488,-1.890,0.671
1774670686267,2026-03-28T00.04.46.267,0.781,-0.488,-1.402,0.732
1774670686276,2026-03-28T00.04.46.276,0.790,-0.549,-0.488,0.549
1774670686286,2026-03-28T00.04.46.286,0.800,-0.671,0.183,0.244
1774670686297,2026-03-28T00.04.46.297,0.811,-0.854,0.305,0.061
1774670686307,2026-03-28T00.04.46.307,0.821,-0.732,0.305,-0.122
1774670686316,2026-03-28T00.04.46.316,0.830,-0.732,0.488,-0.244
1774670686326,2026-03-28T00.04.46.326,0.840,-0.671,0.610,-0.427
1774670686336,2026-03-28T00.04.46.336,0.850,-0.427,0.854,-0.427
1774670686346,2026-03-28T00.04.46.346,0.860,-0.244,1.037,-0.610
1774670686355,2026-03-28T00.04.46.355,0.869,0.000,1.037,-0.854
1774670686365,2026-03-28T00.04.46.365,0.879,0.427,0.427,-0.976
1774670686376,2026-03-28T00.04.46.376,0.890,0.671,-0.305,-0.915
1774670686386,2026-03-28T00.04.46.386,0.900,0.854,-0.793,-0.854
1774670686395,2026-03-28T00.04.46.395,0.909,0.854,-0.732,-0.732
1774670686405,2026-03-28T00.04.46.405,0.919,0.793,-0.183,-0.671
1774670686415,2026-03-28T00.04.46.415,0.929,0.610,0.366,-0.793
1774670686425,2026-03-28T00.04.46.425,0.939,0.244,0.610,-0.854
1774670686434,2026-03-28T00.04.46.434,0.948,0.061,0.610,-0.732
1774670686445,2026-03-28T00.04.46.445,0.959,0.000,0.366,-0.610
1774670686455,2026-03-28T00.04.46.455,0.969,0.122,-0.061,-0.610
1774670686465,2026-03-28T00.04.46.465,0.979,0.244,-0.244,-0.610
1774670686474,2026-03-28T00.04.46.474,0.988,0.366,-0.366,-0.610
1774670686484,2026-03-28T00.04.46.484,0.998,0.427,-0.366,-0.488
1774670686494,2026-03-28T00.04.46.494,1.008,0.549,-0.244,-0.305
1774670686505,2026-03-28T00.04.46.505,1.019,0.488,-0.122,-0.183
1774670686513,2026-03-28T00.04.46.513,1.027,0.366,0.000,0.183
1774670686524,2026-03-28T00.04.46.524,1.038,0.366,0.122,0.305
1774670686534,2026-03-28T00.04.46.534,1.048,0.305,0.183,0.366
1774670686544,2026-03-28T00.04.46.544,1.058,0.366,-0.061,0.488
1774670686553,2026-03-28T00.04.46.553,1.067,0.366,-0.610,0.671
1774670686563,2026-03-28T00.04.46.563,1.077,0.488,-0.915,0.732
1774670686573,2026-03-28T00.04.46.573,1.087,0.549,-0.976,0.976
1774670686584,2026-03-28T00.04.46.584,1.098,0.549,-0.427,1.280
1774670686592,2026-03-28T00.04.46.592,1.106,0.427,0.732,1.463
1774670686603,2026-03-28T00.04.46.603,1.117,0.244,2.256,1.585
1774670686613,2026-03-28T00.04.46.613,1.127,-0.061,4.268,1.524
1774670686623,2026-03-28T00.04.46.623,1.137,-0.366,6.829,1.402
1774670686632,2026-03-28T00.04.46.632,1.146,-0.549,9.573,1.220
1774670686642,2026-03-28T00.04.46.642,1.156,-0.427,11.159,1.098
1774670686653,2026-03-28T00.04.46.653,1.167,0.244,11.098,1.098
1774670686663,2026-03-28T00.04.46.663,1.177,1.098,10.244,1.220
1774670686672,2026-03-28T00.04.46.672,1.186,1.463,10.183,1.646
1774670686682,2026-03-28T00.04.46.682,1.196,1.524,12.073,1.768
1774670686692,2026-03-28T00.04.46.692,1.206,1.646,15.488,1.402
1774670686701,2026-03-28T00.04.46.701,1.215,1.646,18.720,0.976
1774670686711,2026-03-28T00.04.46.711,1.225,1.707,20.000,0.305
1774670686721,2026-03-28T00.04.46.721,1.235,2.073,18.841,-0.488
1774670686732,2026-03-28T00.04.46.732,1.246,2.622,16.402,-1.463
1774670686740,2026-03-28T00.04.46.740,1.254,2.988,13.963,-2.500
1774670686751,2026-03-28T00.04.46.751,1.265,2.805,12.683,-3.415
1774670686761,2026-03-28T00.04.46.761,1.275,2.256,12.317,-4.085
1774670686771,2026-03-28T00.04.46.771,1.285,1.098,13.049,-4.146
1774670686780,2026-03-28T00.04.46.780,1.294,-0.122,14.207,-3.598
1774670686790,2026-03-28T00.04.46.790,1.304,-1.159,14.756,-3.171
1774670686800,2026-03-28T00.04.46.800,1.314,-1.951,14.512,-2.561
1774670686811,2026-03-28T00.04.46.811,1.325,-2.317,13.476,-1.890
1774670686820,2026-03-28T00.04.46.820,1.334,-2.561,11.341,-1.768
1774670686830,2026-03-28T00.04.46.830,1.344,-2.622,8.902,-2.012
1774670686840,2026-03-28T00.04.46.840,1.354,-2.256,7.134,-2.683
1774670686850,2026-03-28T00.04.46.850,1.364,-2.134,7.012,-3.476
1774670686859,2026-03-28T00.04.46.859,1.373,-2.195,7.744,-4.207
1774670686869,2026-03-28T00.04.46.869,1.383,-2.561,9.390,-4.878
1774670686880,2026-03-28T00.04.46.880,1.394,-2.256,11.098,-5.549
1774670686890,2026-03-28T00.04.46.890,1.404,-2.256,12.561,-6.341
1774670686899,2026-03-28T00.04.46.899,1.413,-2.500,13.598,-6.951
1774670686909,2026-03-28T00.04.46.909,1.423,-2.683,13.902,-7.439
1774670686919,2026-03-28T00.04.46.919,1.433,-3.110,14.207,-7.683
1774670686929,2026-03-28T00.04.46.929,1.443,-3.841,16.829,-7.866
1774670686938,2026-03-28T00.04.46.938,1.452,-5.000,23.110,-7.805
1774670686948,2026-03-28T00.04.46.948,1.462,-6.768,31.037,-7.927
1774670686959,2026-03-28T00.04.46.959,1.473,-7.317,34.024,-8.232
1774670686969,2026-03-28T00.04.46.969,1.483,-5.854,26.829,-8.841
1774670686978,2026-03-28T00.04.46.978,1.492,-2.317,8.354,-9.390
1774670686988,2026-03-28T00.04.46.988,1.502,2.439,-15.183,-10.183
1774670686998,2026-03-28T00.04.46.998,1.512,6.707,-32.866,-10.854
1774670687008,2026-03-28T00.04.47.008,1.522,9.451,-38.293,-11.159
1774670687017,2026-03-28T00.04.47.017,1.531,10.976,-33.476,-11.098
1774670687028,2026-03-28T00.04.47.028,1.542,11.280,-23.232,-9.817
1774670687038,2026-03-28T00.04.47.038,1.552,11.159,-12.744,-7.500
1774670687048,2026-03-28T00.04.47.048,1.562,11.402,-5.000,-5.000
1774670687057,2026-03-28T00.04.47.057,1.571,11.707,-1.220,-2.561
1774670687067,2026-03-28T00.04.47.067,1.581,12.622,-1.951,-0.976
1774670687077,2026-03-28T00.04.47.077,1.591,14.085,-5.610,-0.183
1774670687088,2026-03-28T00.04.47.088,1.602,15.854,-9.634,0.427
1774670687096,2026-03-28T00.04.47.096,1.610,17.195,-11.768,0.244
1774670687107,2026-03-28T00.04.47.107,1.621,17.988,-11.707,0.305
1774670687117,2026-03-28T00.04.47.117,1.631,18.232,-9.207,1.463
1774670687127,2026-03-28T00.04.47.127,1.641,17.805,-3.598,2.866
1774670687136,2026-03-28T00.04.47.136,1.650,17.012,4.146,3.963
1774670687146,2026-03-28T00.04.47.146,1.660,16.341,11.890,4.939
1774670687156,2026-03-28T00.04.47.156,1.670,15.976,18.110,6.098
1774670687167,2026-03-28T00.04.47.167,1.681,16.159,22.195,7.134
1774670687175,2026-03-28T00.04.47.175,1.689,16.890,24.390,7.561
1774670687186,2026-03-28T00.04.47.186,1.700,17.683,24.939,7.866
1774670687196,2026-03-28T00.04.47.196,1.710,18.537,24.573,8.232
1774670687205,2026-03-28T00.04.47.205,1.719,18.598,23.354,8.293
1774670687215,2026-03-28T00.04.47.215,1.729,17.805,21.280,7.988
1774670687225,2026-03-28T00.04.47.225,1.739,16.585,19.085,7.500
1774670687236,2026-03-28T00.04.47.236,1.750,14.390,17.439,6.646
1774670687244,2026-03-28T00.04.47.244,1.758,11.037,16.037,5.183
1774670687255,2026-03-28T00.04.47.255,1.769,6.890,15.122,3.476
1774670687265,2026-03-28T00.04.47.265,1.779,2.012,14.512,1.524
1774670687275,2026-03-28T00.04.47.275,1.789,-3.049,13.171,-1.098
1774670687284,2026-03-28T00.04.47.284,1.798,-7.683,10.854,-3.415
1774670687294,2026-03-28T00.04.47.294,1.808,-11.646,7.988,-5.122
1774670687304,2026-03-28T00.04.47.304,1.818,-15.305,5.488,-6.585
1774670687315,2026-03-28T00.04.47.315,1.829,-18.171,4.939,-7.500
1774670687323,2026-03-28T00.04.47.323,1.837,-20.427,6.951,-7.561
1774670687334,2026-03-28T00.04.47.334,1.848,-22.012,9.756,-7.622
1774670687344,2026-03-28T00.04.47.344,1.858,-22.317,12.256,-7.012
1774670687354,2026-03-28T00.04.47.354,1.868,-21.341,13.171,-5.976
1774670687363,2026-03-28T00.04.47.363,1.877,-19.390,12.866,-4.634
1774670687373,2026-03-28T00.04.47.373,1.887,-16.768,12.134,-3.110
1774670687383,2026-03-28T00.04.47.383,1.897,-13.659,11.341,-1.524
1774670687394,2026-03-28T00.04.47.394,1.908,-10.488,10.305,-0.122
1774670687403,2026-03-28T00.04.47.403,1.917,-7.500,9.451,1.341
1774670687413,2026-03-28T00.04.47.413,1.927,-5.122,8.476,2.378
1774670687423,2026-03-28T00.04.47.423,1.937,-2.988,7.683,2.988
1774670687433,2026-03-28T00.04.47.433,1.947,-1.159,6.463,3.354
1774670687442,2026-03-28T00.04.47.442,1.956,0.061,4.939,3.110
1774670687452,2026-03-28T00.04.47.452,1.966,0.854,3.598,2.927
1774670687463,2026-03-28T00.04.47.463,1.977,1.402,2.866,2.561
1774670687473,2026-03-28T00.04.47.473,1.987,1.707,2.744,1.890
1774670687482,2026-03-28T00.04.47.482,1.996,2.012,2.134,0.854
1774670687492,2026-03-28T00.04.47.492,2.006,2.927,0.122,-0.061
1774670687502,2026-03-28T00.04.47.502,2.016,4.085,-2.927,-0.976
1774670687512,2026-03-28T00.04.47.512,2.026,5.244,-5.915,-1.768
1774670687521,2026-03-28T00.04.47.521,2.035,6.646,-8.232,-2.439
1774670687531,2026-03-28T00.04.47.531,2.045,8.049,-9.878,-3.049
1774670687542,2026-03-28T00.04.47.542,2.056,9.085,-11.341,-3.415
1774670687552,2026-03-28T00.04.47.552,2.066,9.817,-12.805,-3.415
1774670687561,2026-03-28T00.04.47.561,2.075,9.939,-14.390,-3.415
1774670687571,2026-03-28T00.04.47.571,2.085,9.817,-15.976,-3.598
1774670687581,2026-03-28T00.04.47.581,2.095,9.695,-16.890,-3.598
1774670687591,2026-03-28T00.04.47.591,2.105,9.146,-17.378,-3.598
1774670687600,2026-03-28T00.04.47.600,2.114,8.049,-17.012,-3.171
1774670687611,2026-03-28T00.04.47.611,2.125,6.768,-16.159,-2.561
1774670687621,2026-03-28T00.04.47.621,2.135,5.488,-15.366,-1.951
1774670687631,2026-03-28T00.04.47.631,2.145,4.146,-14.878,-1.768
